ICD	ICD10	ICD10cm	ICD_class1	ICD_class2	ICD_class3	Phecode	Phenotype	maternal	neonatal
H11	H11.8	H11.821	Diseases of the eye and adnexa	Disorders of conjunctiva	Other specified disorders of conjunctiva	372	Disorders of conjunctiva	Yes	Yes
H11	H11.8	H11.812	Diseases of the eye and adnexa	Disorders of conjunctiva	Other specified disorders of conjunctiva	372	Disorders of conjunctiva	Yes	Yes
H11	H11.8	H11.819	Diseases of the eye and adnexa	Disorders of conjunctiva	Other specified disorders of conjunctiva	372	Disorders of conjunctiva	Yes	Yes
H11	H11.8	H11.89	Diseases of the eye and adnexa	Disorders of conjunctiva	Other specified disorders of conjunctiva	372	Disorders of conjunctiva	Yes	Yes
H11	H11.8	H11.813	Diseases of the eye and adnexa	Disorders of conjunctiva	Other specified disorders of conjunctiva	372	Disorders of conjunctiva	Yes	Yes
H11	H11.2	H11.24	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival scars	372	Disorders of conjunctiva	Yes	Yes
H11	H11.2	H11.2	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival scars	372	Disorders of conjunctiva	Yes	Yes
H11	H11.2	H11.211	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival scars	372	Disorders of conjunctiva	Yes	Yes
H11	H11.2	H11.223	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival scars	372	Disorders of conjunctiva	Yes	Yes
H11	H11.2	H11.23	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival scars	372	Disorders of conjunctiva	Yes	Yes
H11	H11.2	H11.231	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival scars	372	Disorders of conjunctiva	Yes	Yes
H11	H11.2	H11.221	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival scars	372	Disorders of conjunctiva	Yes	Yes
H11	H11.2	H11.233	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival scars	372	Disorders of conjunctiva	Yes	Yes
H11	H11.2	H11.222	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival scars	372	Disorders of conjunctiva	Yes	Yes
H11	H11.2	H11.243	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival scars	372	Disorders of conjunctiva	Yes	Yes
H11	H11.2	H11.212	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival scars	372	Disorders of conjunctiva	Yes	Yes
H11	H11.2	H11.21	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival scars	372	Disorders of conjunctiva	Yes	Yes
H11	H11.2	H11.241	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival scars	372	Disorders of conjunctiva	Yes	Yes
H11	H11.2	H11.232	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival scars	372	Disorders of conjunctiva	Yes	Yes
H11	H11.2	H11.239	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival scars	372	Disorders of conjunctiva	Yes	Yes
H11	H11.2	H11.229	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival scars	372	Disorders of conjunctiva	Yes	Yes
H11	H11.2	H11.242	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival scars	372	Disorders of conjunctiva	Yes	Yes
H11	H11.2	H11.219	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival scars	372	Disorders of conjunctiva	Yes	Yes
H11	H11.2	H11.22	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival scars	372	Disorders of conjunctiva	Yes	Yes
H11	H11.2	H11.213	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival scars	372	Disorders of conjunctiva	Yes	Yes
H11	H11.2	H11.249	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival scars	372	Disorders of conjunctiva	Yes	Yes
H11	H11.3	H11.33	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival haemorrhage	372	Disorders of conjunctiva	Yes	Yes
H11	H11.3	H11.32	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival haemorrhage	372	Disorders of conjunctiva	Yes	Yes
H11	H11.3	H11.31	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival haemorrhage	372	Disorders of conjunctiva	Yes	Yes
H11	H11.3	H11.3	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival haemorrhage	372	Disorders of conjunctiva	Yes	Yes
H11	H11.3	H11.30	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival haemorrhage	372	Disorders of conjunctiva	Yes	Yes
H11	H11.4	H11.439	Diseases of the eye and adnexa	Disorders of conjunctiva	Other conjunctival vascular disorders and cysts	372	Disorders of conjunctiva	Yes	Yes
H11	H11.4	H11.412	Diseases of the eye and adnexa	Disorders of conjunctiva	Other conjunctival vascular disorders and cysts	372	Disorders of conjunctiva	Yes	Yes
H11	H11.4	H11.449	Diseases of the eye and adnexa	Disorders of conjunctiva	Other conjunctival vascular disorders and cysts	372	Disorders of conjunctiva	Yes	Yes
H11	H11.4	H11.431	Diseases of the eye and adnexa	Disorders of conjunctiva	Other conjunctival vascular disorders and cysts	372	Disorders of conjunctiva	Yes	Yes
H11	H11.4	H11.4	Diseases of the eye and adnexa	Disorders of conjunctiva	Other conjunctival vascular disorders and cysts	372	Disorders of conjunctiva	Yes	Yes
H11	H11.4	H11.432	Diseases of the eye and adnexa	Disorders of conjunctiva	Other conjunctival vascular disorders and cysts	372	Disorders of conjunctiva	Yes	Yes
H11	H11.4	H11.423	Diseases of the eye and adnexa	Disorders of conjunctiva	Other conjunctival vascular disorders and cysts	372	Disorders of conjunctiva	Yes	Yes
H11	H11.4	H11.419	Diseases of the eye and adnexa	Disorders of conjunctiva	Other conjunctival vascular disorders and cysts	372	Disorders of conjunctiva	Yes	Yes
H11	H11.4	H11.441	Diseases of the eye and adnexa	Disorders of conjunctiva	Other conjunctival vascular disorders and cysts	372	Disorders of conjunctiva	Yes	Yes
H11	H11.4	H11.413	Diseases of the eye and adnexa	Disorders of conjunctiva	Other conjunctival vascular disorders and cysts	372	Disorders of conjunctiva	Yes	Yes
H11	H11.4	H11.44	Diseases of the eye and adnexa	Disorders of conjunctiva	Other conjunctival vascular disorders and cysts	372	Disorders of conjunctiva	Yes	Yes
H11	H11.4	H11.42	Diseases of the eye and adnexa	Disorders of conjunctiva	Other conjunctival vascular disorders and cysts	372	Disorders of conjunctiva	Yes	Yes
H11	H11.4	H11.443	Diseases of the eye and adnexa	Disorders of conjunctiva	Other conjunctival vascular disorders and cysts	372	Disorders of conjunctiva	Yes	Yes
H11	H11.4	H11.411	Diseases of the eye and adnexa	Disorders of conjunctiva	Other conjunctival vascular disorders and cysts	372	Disorders of conjunctiva	Yes	Yes
H11	H11.4	H11.422	Diseases of the eye and adnexa	Disorders of conjunctiva	Other conjunctival vascular disorders and cysts	372	Disorders of conjunctiva	Yes	Yes
H11	H11.4	H11.43	Diseases of the eye and adnexa	Disorders of conjunctiva	Other conjunctival vascular disorders and cysts	372	Disorders of conjunctiva	Yes	Yes
H11	H11.4	H11.442	Diseases of the eye and adnexa	Disorders of conjunctiva	Other conjunctival vascular disorders and cysts	372	Disorders of conjunctiva	Yes	Yes
H11	H11.4	H11.41	Diseases of the eye and adnexa	Disorders of conjunctiva	Other conjunctival vascular disorders and cysts	372	Disorders of conjunctiva	Yes	Yes
H11	H11.4	H11.433	Diseases of the eye and adnexa	Disorders of conjunctiva	Other conjunctival vascular disorders and cysts	372	Disorders of conjunctiva	Yes	Yes
H11	H11.4	H11.421	Diseases of the eye and adnexa	Disorders of conjunctiva	Other conjunctival vascular disorders and cysts	372	Disorders of conjunctiva	Yes	Yes
H11	H11.4	H11.429	Diseases of the eye and adnexa	Disorders of conjunctiva	Other conjunctival vascular disorders and cysts	372	Disorders of conjunctiva	Yes	Yes
H11	H11	H11	Diseases of the eye and adnexa	Disorders of conjunctiva	Other disorders of conjunctiva	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.011	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.04	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.039	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.06	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.05	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.001	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.051	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.063	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.03	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.062	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.052	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.003	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.069	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.033	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.059	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.01	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.031	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.029	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.042	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.022	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.009	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.02	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.013	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.049	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.00	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.0	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.002	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.043	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.023	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.032	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.012	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.019	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.041	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.053	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.061	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.0	H11.021	Diseases of the eye and adnexa	Disorders of conjunctiva	Pterygium	372	Disorders of conjunctiva	Yes	Yes
H11	H11.1	H11.151	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival degenerations and deposits	372	Disorders of conjunctiva	Yes	Yes
H11	H11.1	H11.1	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival degenerations and deposits	372	Disorders of conjunctiva	Yes	Yes
H11	H11.1	H11.143	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival degenerations and deposits	372	Disorders of conjunctiva	Yes	Yes
H11	H11.1	H11.142	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival degenerations and deposits	372	Disorders of conjunctiva	Yes	Yes
H11	H11.1	H11.122	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival degenerations and deposits	372	Disorders of conjunctiva	Yes	Yes
H11	H11.1	H11.10	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival degenerations and deposits	372	Disorders of conjunctiva	Yes	Yes
H11	H11.1	H11.159	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival degenerations and deposits	372	Disorders of conjunctiva	Yes	Yes
H11	H11.1	H11.153	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival degenerations and deposits	372	Disorders of conjunctiva	Yes	Yes
H11	H11.1	H11.15	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival degenerations and deposits	372	Disorders of conjunctiva	Yes	Yes
H11	H11.1	H11.113	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival degenerations and deposits	372	Disorders of conjunctiva	Yes	Yes
H11	H11.1	H11.119	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival degenerations and deposits	372	Disorders of conjunctiva	Yes	Yes
H11	H11.1	H11.13	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival degenerations and deposits	372	Disorders of conjunctiva	Yes	Yes
H11	H11.1	H11.139	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival degenerations and deposits	372	Disorders of conjunctiva	Yes	Yes
H11	H11.1	H11.129	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival degenerations and deposits	372	Disorders of conjunctiva	Yes	Yes
H11	H11.1	H11.141	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival degenerations and deposits	372	Disorders of conjunctiva	Yes	Yes
H11	H11.1	H11.121	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival degenerations and deposits	372	Disorders of conjunctiva	Yes	Yes
H11	H11.1	H11.133	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival degenerations and deposits	372	Disorders of conjunctiva	Yes	Yes
H11	H11.1	H11.123	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival degenerations and deposits	372	Disorders of conjunctiva	Yes	Yes
H11	H11.1	H11.12	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival degenerations and deposits	372	Disorders of conjunctiva	Yes	Yes
H11	H11.1	H11.111	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival degenerations and deposits	372	Disorders of conjunctiva	Yes	Yes
H11	H11.1	H11.112	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival degenerations and deposits	372	Disorders of conjunctiva	Yes	Yes
H11	H11.1	H11.131	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival degenerations and deposits	372	Disorders of conjunctiva	Yes	Yes
H11	H11.1	H11.14	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival degenerations and deposits	372	Disorders of conjunctiva	Yes	Yes
H11	H11.1	H11.11	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival degenerations and deposits	372	Disorders of conjunctiva	Yes	Yes
H11	H11.1	H11.152	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival degenerations and deposits	372	Disorders of conjunctiva	Yes	Yes
H11	H11.1	H11.149	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival degenerations and deposits	372	Disorders of conjunctiva	Yes	Yes
H11	H11.1	H11.132	Diseases of the eye and adnexa	Disorders of conjunctiva	Conjunctival degenerations and deposits	372	Disorders of conjunctiva	Yes	Yes
H11	H11.9	H11.9	Diseases of the eye and adnexa	Disorders of conjunctiva	Disorder of conjunctiva, unspecified	372	Disorders of conjunctiva	Yes	Yes
H16	H16.0	H16.039	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.062	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.001	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.071	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.00	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.052	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.061	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.063	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.053	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.073	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.049	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.069	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.033	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.072	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.019	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.022	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.02	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.05	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.023	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.011	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.002	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.032	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.051	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.07	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.04	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.01	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.043	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.003	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.06	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.031	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.041	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.009	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.0	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.079	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.012	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.029	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.013	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.021	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.059	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.03	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.0	H16.042	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Corneal ulcer	370.1	Corneal ulcer	Yes	
H16	H16.1	H16.123	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Other superficial keratitis without conjunctivitis	370.2	Superficial keratitis	Yes	
H16	H16.1	H16.113	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Other superficial keratitis without conjunctivitis	370.2	Superficial keratitis	Yes	
H16	H16.1	H16.129	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Other superficial keratitis without conjunctivitis	370.2	Superficial keratitis	Yes	
H16	H16.1	H16.102	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Other superficial keratitis without conjunctivitis	370.2	Superficial keratitis	Yes	
H16	H16.1	H16.121	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Other superficial keratitis without conjunctivitis	370.2	Superficial keratitis	Yes	
H16	H16.1	H16.14	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Other superficial keratitis without conjunctivitis	370.2	Superficial keratitis	Yes	
H16	H16.1	H16.132	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Other superficial keratitis without conjunctivitis	370.2	Superficial keratitis	Yes	
H16	H16.1	H16.103	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Other superficial keratitis without conjunctivitis	370.2	Superficial keratitis	Yes	
H16	H16.1	H16.142	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Other superficial keratitis without conjunctivitis	370.2	Superficial keratitis	Yes	
H16	H16.1	H16.11	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Other superficial keratitis without conjunctivitis	370.2	Superficial keratitis	Yes	
H16	H16.1	H16.112	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Other superficial keratitis without conjunctivitis	370.2	Superficial keratitis	Yes	
H16	H16.1	H16.13	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Other superficial keratitis without conjunctivitis	370.2	Superficial keratitis	Yes	
H16	H16.1	H16.131	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Other superficial keratitis without conjunctivitis	370.2	Superficial keratitis	Yes	
H16	H16.1	H16.111	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Other superficial keratitis without conjunctivitis	370.2	Superficial keratitis	Yes	
H16	H16.1	H16.143	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Other superficial keratitis without conjunctivitis	370.2	Superficial keratitis	Yes	
H16	H16.1	H16.10	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Other superficial keratitis without conjunctivitis	370.2	Superficial keratitis	Yes	
H16	H16.1	H16.101	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Other superficial keratitis without conjunctivitis	370.2	Superficial keratitis	Yes	
H16	H16.1	H16.133	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Other superficial keratitis without conjunctivitis	370.2	Superficial keratitis	Yes	
H16	H16.1	H16.12	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Other superficial keratitis without conjunctivitis	370.2	Superficial keratitis	Yes	
H16	H16.1	H16.1	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Other superficial keratitis without conjunctivitis	370.2	Superficial keratitis	Yes	
H16	H16.1	H16.109	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Other superficial keratitis without conjunctivitis	370.2	Superficial keratitis	Yes	
H16	H16.1	H16.122	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Other superficial keratitis without conjunctivitis	370.2	Superficial keratitis	Yes	
H16	H16.1	H16.139	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Other superficial keratitis without conjunctivitis	370.2	Superficial keratitis	Yes	
H16	H16.1	H16.149	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Other superficial keratitis without conjunctivitis	370.2	Superficial keratitis	Yes	
H16	H16.1	H16.119	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Other superficial keratitis without conjunctivitis	370.2	Superficial keratitis	Yes	
H16	H16.1	H16.141	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Other superficial keratitis without conjunctivitis	370.2	Superficial keratitis	Yes	
H16	H16.8	H16.8	Diseases of the eye and adnexa	Disorders of sclera, cornea, iris and ciliary body	Other keratitis	370	Keratitis	Yes	
